X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
15.8051483400001,40.63947052,277,Basilicata,Italy,2020/09/05 09:28:32+00,40.63947052,15.80514834,548,412,28,108,,,"Basilicata, Italy"
16.5944019400001,38.9059759800001,278,Calabria,Italy,2020/09/05 09:28:32+00,38.90597598,16.59440194,1577,1167,97,313,,,"Calabria, Italy"
14.2508498400001,40.83956555,279,Campania,Italy,2020/09/05 09:28:32+00,40.83956555,14.25084984,7649,4471,447,2731,,,"Campania, Italy"
11.3417208,44.49436681,280,Emilia-Romagna,Italy,2020/09/05 09:28:32+00,44.49436681,11.3417208,32371,24719,4463,3189,,,"Emilia-Romagna, Italy"
13.7681364900001,45.6494354,281,Friuli Venezia Giulia,Italy,2020/09/05 09:28:32+00,45.6494354,13.76813649,3854,3093,349,412,,,"Friuli Venezia Giulia, Italy"
12.48366722,41.89277044,282,Lazio,Italy,2020/09/05 09:28:32+00,41.89277044,12.48366722,11771,7204,879,3688,,,"Lazio, Italy"
8.9326992,44.4114931500001,283,Liguria,Italy,2020/09/05 09:28:32+00,44.41149315,8.9326992,11086,8841,1572,673,,,"Liguria, Italy"
9.19034740400002,45.4667940900001,284,Lombardia,Italy,2020/09/05 09:28:32+00,45.46679409,9.190347404,101119,76574,16876,7669,,,"Lombardia, Italy"
13.5188753,43.6167597300001,285,Marche,Italy,2020/09/05 09:28:32+00,43.61675973,13.5188753,7311,5982,988,341,,,"Marche, Italy"
14.65916051,41.55774754,286,Molise,Italy,2020/09/05 09:28:32+00,41.55774754,14.65916051,534,433,23,78,,,"Molise, Italy"
11.3566242200001,46.4993345300001,287,P.A. Bolzano,Italy,2020/09/05 09:28:32+00,46.49933453,11.35662422,2973,2472,292,209,,,"P.A. Bolzano, Italy"
11.1212309700001,46.06893511,288,P.A. Trento,Italy,2020/09/05 09:28:32+00,46.06893511,11.12123097,5246,4611,405,230,,,"P.A. Trento, Italy"
7.68068748300004,45.0732745,289,Piemonte,Italy,2020/09/05 09:28:32+00,45.0732745,7.680687483,33146,27349,4149,1648,,,"Piemonte, Italy"
16.86736689,41.1255957600001,290,Puglia,Italy,2020/09/05 09:28:32+00,41.12559576,16.86736689,5741,4095,560,1086,,,"Puglia, Italy"
9.11061630600005,39.21531192,291,Sardegna,Italy,2020/09/05 09:28:32+00,39.21531192,9.110616306,2421,1276,135,1010,,,"Sardegna, Italy"
13.3623567,38.11569725,292,Sicilia,Italy,2020/09/05 09:28:32+00,38.11569725,13.3623567,4565,2993,288,1284,,,"Sicilia, Italy"
11.2558888500001,43.76923077,293,Toscana,Italy,2020/09/05 09:28:32+00,43.76923077,11.25588885,12179,9219,1143,1817,,,"Toscana, Italy"
12.3882469800001,43.1067584100001,294,Umbria,Italy,2020/09/05 09:28:32+00,43.10675841,12.38824698,1874,1467,80,327,,,"Umbria, Italy"
7.32014936600007,45.7375028600001,295,Valle d'Aosta,Italy,2020/09/05 09:28:32+00,45.73750286,7.320149366,1249,1068,146,35,,,"Valle d'Aosta, Italy"
12.3384521300001,45.4349048500001,296,Veneto,Italy,2020/09/05 09:28:32+00,45.43490485,12.33845213,23577,18671,2126,2780,,,"Veneto, Italy"
-77.2975,18.1096,297,,Jamaica,2020/09/05 09:28:32+00,18.1096,-77.2975,2964,922,30,2012,,,Jamaica
137.211621,35.035551,298,Aichi,Japan,2020/09/05 09:28:32+00,35.035551,137.211621,4677,3865,73,739,,,"Aichi, Japan"
140.408228,39.748679,299,Akita,Japan,2020/09/05 09:28:32+00,39.748679,140.408228,50,45,0,5,,,"Akita, Japan"
140.828896,40.781541,300,Aomori,Japan,2020/09/05 09:28:32+00,40.781541,140.828896,35,32,1,2,,,"Aomori, Japan"
140.198917,35.510141,301,Chiba,Japan,2020/09/05 09:28:32+00,35.510141,140.198917,3159,2712,63,384,,,"Chiba, Japan"
132.856842,33.624835,302,Ehime,Japan,2020/09/05 09:28:32+00,33.624835,132.856842,114,107,6,1,,,"Ehime, Japan"
136.224654,35.846614,303,Fukui,Japan,2020/09/05 09:28:32+00,35.846614,136.224654,243,160,8,75,,,"Fukui, Japan"
130.666949,33.526032,304,Fukuoka,Japan,2020/09/05 09:28:32+00,33.526032,130.666949,4757,3819,66,872,,,"Fukuoka, Japan"
140.223295,37.378867,305,Fukushima,Japan,2020/09/05 09:28:32+00,37.378867,140.223295,175,116,0,59,,,"Fukushima, Japan"
137.055925,35.778671,306,Gifu,Japan,2020/09/05 09:28:32+00,35.778671,137.055925,564,527,10,27,,,"Gifu, Japan"
138.985605,36.504479,307,Gunma,Japan,2020/09/05 09:28:32+00,36.504479,138.985605,474,357,19,98,,,"Gunma, Japan"
132.788719,34.605309,308,Hiroshima,Japan,2020/09/05 09:28:32+00,34.605309,132.788719,456,442,3,11,,,"Hiroshima, Japan"
142.552318,43.385711,309,Hokkaido,Japan,2020/09/05 09:28:32+00,43.385711,142.552318,1813,1578,104,131,,,"Hokkaido, Japan"
134.828057,35.039913,310,Hyogo,Japan,2020/09/05 09:28:32+00,35.039913,134.828057,2347,2110,54,183,,,"Hyogo, Japan"
140.319591,36.303588,311,Ibaraki,Japan,2020/09/05 09:28:32+00,36.303588,140.319591,567,485,14,68,,,"Ibaraki, Japan"
136.771027,36.769464,312,Ishikawa,Japan,2020/09/05 09:28:32+00,36.769464,136.771027,681,507,37,137,,,"Ishikawa, Japan"
141.361777,39.593287,313,Iwate,Japan,2020/09/05 09:28:32+00,39.593287,141.361777,23,10,0,13,,,"Iwate, Japan"
133.969047,34.217292,314,Kagawa,Japan,2020/09/05 09:28:32+00,34.217292,133.969047,85,71,1,13,,,"Kagawa, Japan"
130.430665,31.009484,315,Kagoshima,Japan,2020/09/05 09:28:32+00,31.009484,130.430665,370,302,11,57,,,"Kagoshima, Japan"
139.338983,35.415312,316,Kanagawa,Japan,2020/09/05 09:28:32+00,35.415312,139.338983,5288,4468,126,694,,,"Kanagawa, Japan"
133.367307,33.422519,317,Kochi,Japan,2020/09/05 09:28:32+00,33.422519,133.367307,131,109,3,19,,,"Kochi, Japan"
130.745231,32.608154,318,Kumamoto,Japan,2020/09/05 09:28:32+00,32.608154,130.745231,540,450,7,83,,,"Kumamoto, Japan"
135.443341,35.253815,319,Kyoto,Japan,2020/09/05 09:28:32+00,35.253815,135.443341,1561,1317,25,219,,,"Kyoto, Japan"
136.376013,34.508018,320,Mie,Japan,2020/09/05 09:28:32+00,34.508018,136.376013,423,334,2,87,,,"Mie, Japan"
140.927086,38.446859,321,Miyagi,Japan,2020/09/05 09:28:32+00,38.446859,140.927086,234,190,2,42,,,"Miyagi, Japan"
131.299374,32.193204,322,Miyazaki,Japan,2020/09/05 09:28:32+00,32.193204,131.299374,360,315,1,44,,,"Miyazaki, Japan"
138.045528,36.132134,323,Nagano,Japan,2020/09/05 09:28:32+00,36.132134,138.045528,285,206,1,78,,,"Nagano, Japan"
129.608033,33.235712,324,Nagasaki,Japan,2020/09/05 09:28:32+00,33.235712,129.608033,234,200,3,31,,,"Nagasaki, Japan"
135.871644,34.317451,325,Nara,Japan,2020/09/05 09:28:32+00,34.317451,135.871644,534,481,8,45,,,"Nara, Japan"
138.918647,37.521819,326,Niigata,Japan,2020/09/05 09:28:32+00,37.521819,138.918647,146,137,0,9,,,"Niigata, Japan"
